time,origin_zone,dest_zone,counts
6000,3,3,"[1, 0, 0, 0, 0, 0, 0]"
82800,1,3,"[1, 0, 0, 0, 0, 0, 0]"
62400,1,0,"[1, 3, 1, 2, 0, 0, 2]"
45000,2,2,"[3, 0, 0, 0, 3, 1, 1]"
66600,2,2,"[1, 1, 1, 2, 1, 2, 2]"
58200,1,0,"[3, 1, 2, 1, 1, 0, 5]"
600,1,1,"[5, 0, 0, 2, 2, 0, 4]"
31800,2,2,"[1, 1, 1, 0, 0, 1, 2]"
79200,1,1,"[3, 0, 3, 2, 0, 4, 1]"
67200,0,0,"[2, 0, 0, 1, 2, 2, 2]"
13200,0,0,"[4, 0, 0, 0, 0, 0, 2]"
40800,0,1,"[4, 1, 0, 1, 0, 0, 2]"
13800,1,0,"[4, 0, 0, 0, 0, 0, 0]"
7800,0,0,"[3, 0, 0, 0, 0, 2, 2]"
47400,1,1,"[6, 2, 3, 1, 0, 4, 6]"
49200,1,1,"[3, 0, 0, 1, 7, 3, 4]"
10200,1,1,"[1, 0, 0, 1, 0, 1, 2]"
15000,0,1,"[1, 0, 0, 0, 0, 0, 2]"
79800,0,0,"[1, 4, 0, 0, 3, 3, 3]"
57000,0,1,"[2, 1, 0, 0, 0, 3, 0]"
64800,1,0,"[2, 0, 3, 4, 0, 0, 1]"
56400,0,1,"[1, 1, 0, 1, 1, 0, 0]"
600,1,0,"[4, 1, 1, 2, 2, 0, 5]"
35400,1,0,"[2, 2, 0, 2, 0, 0, 0]"
67800,0,1,"[2, 4, 2, 0, 1, 0, 2]"
56400,1,0,"[2, 4, 3, 1, 0, 2, 2]"
49800,1,0,"[1, 1, 3, 1, 1, 0, 1]"
17400,0,0,"[2, 0, 1, 0, 0, 0, 2]"
4200,1,0,"[2, 1, 0, 1, 2, 0, 1]"
45000,1,1,"[3, 1, 4, 0, 3, 2, 5]"
12000,1,1,"[3, 0, 0, 1, 0, 0, 1]"
59400,1,2,"[1, 0, 0, 0, 0, 0, 0]"
40800,1,1,"[5, 2, 1, 4, 1, 5, 4]"
82800,1,2,"[1, 0, 0, 0, 0, 0, 0]"
52200,1,0,"[3, 0, 0, 1, 1, 3, 4]"
56400,1,1,"[3, 2, 4, 4, 0, 4, 2]"
6600,0,0,"[3, 0, 0, 1, 2, 0, 2]"
84000,0,1,"[1, 0, 0, 0, 1, 0, 3]"
39600,2,2,"[2, 0, 0, 0, 0, 0, 0]"
61800,0,0,"[2, 0, 0, 1, 3, 0, 1]"
63600,1,1,"[2, 3, 4, 0, 1, 2, 2]"
60000,1,1,"[5, 4, 1, 0, 1, 2, 3]"
1800,0,0,"[3, 0, 0, 1, 0, 3, 1]"
13200,1,1,"[2, 0, 0, 0, 0, 0, 2]"
69000,1,1,"[2, 3, 4, 1, 1, 1, 6]"
78600,1,0,"[2, 1, 2, 2, 2, 2, 2]"
75600,2,2,"[2, 0, 0, 0, 0, 1, 3]"
49200,2,2,"[1, 0, 1, 0, 1, 0, 0]"
7200,1,1,"[3, 0, 2, 0, 0, 0, 4]"
600,0,0,"[2, 1, 2, 1, 2, 1, 2]"
48600,2,2,"[2, 0, 1, 2, 0, 2, 2]"
75600,1,1,"[2, 3, 5, 1, 4, 2, 2]"
58800,2,2,"[1, 0, 1, 0, 2, 0, 1]"
20400,3,3,"[1, 0, 0, 0, 0, 0, 0]"
51000,1,1,"[2, 3, 3, 2, 5, 5, 2]"
81600,1,0,"[2, 2, 2, 3, 1, 3, 4]"
51600,0,0,"[3, 1, 0, 0, 2, 1, 3]"
49800,0,0,"[2, 0, 0, 1, 1, 3, 2]"
36000,1,1,"[2, 2, 0, 1, 4, 1, 2]"
47400,2,2,"[1, 0, 1, 1, 1, 1, 0]"
6000,1,1,"[10, 0, 2, 1, 0, 0, 4]"
73800,1,0,"[2, 0, 0, 1, 0, 2, 1]"
6600,1,0,"[1, 1, 0, 0, 0, 3, 4]"
8400,0,0,"[4, 0, 1, 0, 0, 0, 2]"
55800,0,0,"[2, 1, 1, 1, 0, 0, 2]"
82800,0,1,"[1, 0, 0, 2, 1, 2, 4]"
83400,0,2,"[1, 0, 0, 0, 0, 0, 0]"
33600,3,1,"[1, 0, 0, 0, 0, 0, 0]"
15000,2,2,"[1, 0, 0, 0, 0, 0, 0]"
63000,2,2,"[3, 1, 3, 2, 0, 1, 1]"
63000,1,0,"[2, 1, 0, 0, 0, 2, 1]"
3000,0,1,"[2, 0, 0, 0, 1, 2, 0]"
21600,0,0,"[1, 0, 0, 0, 0, 0, 0]"
39000,0,1,"[1, 1, 0, 0, 2, 1, 0]"
73800,0,0,"[1, 0, 0, 1, 0, 3, 1]"
6000,0,0,"[4, 0, 0, 0, 1, 2, 3]"
61800,1,1,"[4, 2, 1, 4, 1, 2, 4]"
57000,0,0,"[1, 1, 0, 2, 0, 3, 0]"
33000,1,0,"[3, 1, 1, 4, 1, 1, 0]"
3600,0,1,"[3, 1, 0, 0, 0, 1, 3]"
18600,0,0,"[1, 0, 0, 0, 0, 0, 0]"
53400,2,1,"[1, 0, 0, 0, 0, 0, 0]"
64200,1,0,"[2, 1, 1, 1, 0, 0, 2]"
75600,0,1,"[1, 1, 3, 1, 4, 1, 1]"
65400,1,1,"[2, 3, 0, 2, 1, 9, 6]"
33000,0,1,"[2, 0, 1, 1, 1, 2, 1]"
49200,0,1,"[3, 1, 1, 3, 0, 0, 2]"
80400,0,1,"[1, 0, 3, 1, 0, 2, 0]"
3000,1,1,"[3, 0, 0, 0, 2, 1, 2]"
36600,0,0,"[1, 0, 0, 1, 0, 0, 0]"
82800,1,1,"[2, 0, 2, 3, 5, 2, 2]"
58800,0,1,"[1, 1, 0, 1, 0, 2, 0]"
7800,1,1,"[2, 0, 0, 0, 0, 2, 4]"
54000,1,1,"[3, 2, 5, 2, 2, 3, 1]"
79200,0,0,"[3, 0, 3, 0, 1, 3, 1]"
13800,0,1,"[2, 0, 0, 0, 0, 0, 2]"
18000,0,0,"[1, 0, 0, 0, 0, 0, 0]"
18000,1,0,"[1, 0, 0, 0, 0, 0, 0]"
38400,0,1,"[1, 1, 0, 1, 1, 1, 0]"
77400,1,3,"[1, 0, 0, 0, 0, 0, 0]"
15600,0,0,"[2, 1, 0, 0, 1, 1, 2]"
49200,1,0,"[2, 1, 1, 1, 1, 3, 1]"
70800,0,0,"[1, 1, 1, 1, 1, 1, 0]"
70800,0,1,"[2, 0, 0, 0, 0, 2, 0]"
600,0,1,"[2, 0, 1, 0, 0, 0, 2]"
74400,1,1,"[2, 2, 4, 9, 4, 6, 2]"
6000,1,0,"[5, 0, 0, 0, 0, 2, 1]"
67200,1,1,"[3, 4, 7, 6, 0, 10, 3]"
51000,0,1,"[2, 1, 1, 0, 0, 4, 1]"
60000,0,1,"[2, 2, 1, 0, 2, 2, 2]"
12600,1,3,"[1, 0, 0, 0, 0, 0, 0]"
52200,0,0,"[2, 1, 2, 0, 1, 0, 2]"
27000,0,2,"[1, 0, 0, 0, 0, 0, 0]"
15000,1,0,"[3, 0, 0, 0, 0, 0, 0]"
55200,1,0,"[1, 1, 1, 0, 1, 0, 1]"
3600,0,0,"[2, 0, 0, 0, 3, 0, 4]"
52200,1,1,"[3, 4, 2, 2, 2, 4, 6]"
29400,0,1,"[1, 1, 1, 1, 2, 0, 0]"
51000,1,0,"[1, 0, 1, 3, 0, 2, 1]"
9600,0,0,"[2, 0, 0, 0, 2, 1, 2]"
49800,0,1,"[3, 0, 2, 1, 1, 1, 0]"
44400,2,2,"[1, 0, 0, 1, 1, 0, 2]"
75600,1,0,"[2, 2, 1, 5, 4, 2, 1]"
54600,0,0,"[1, 0, 0, 1, 0, 2, 1]"
67200,1,0,"[3, 0, 1, 1, 0, 6, 1]"
1200,0,2,"[1, 0, 0, 0, 0, 0, 0]"
34800,0,2,"[1, 0, 0, 0, 0, 0, 0]"
27000,2,2,"[3, 0, 2, 0, 3, 2, 1]"
9000,0,1,"[7, 0, 1, 1, 1, 1, 2]"
84600,0,0,"[1, 2, 0, 1, 0, 0, 6]"
69000,0,0,"[1, 0, 0, 1, 0, 2, 0]"
73200,2,2,"[2, 0, 0, 0, 0, 0, 1]"
61800,2,2,"[2, 1, 2, 1, 0, 0, 2]"
83400,1,0,"[1, 0, 0, 1, 2, 1, 1]"
66600,0,1,"[1, 0, 0, 1, 1, 2, 3]"
69000,2,2,"[1, 0, 2, 1, 0, 0, 0]"
76200,1,0,"[1, 1, 4, 2, 1, 1, 1]"
64800,1,2,"[1, 0, 1, 0, 0, 0, 0]"
24600,2,2,"[2, 1, 0, 1, 0, 1, 1]"
66600,1,1,"[4, 4, 3, 3, 1, 1, 3]"
12600,0,1,"[2, 0, 0, 0, 0, 0, 0]"
76800,1,1,"[1, 4, 3, 1, 1, 3, 2]"
59400,1,1,"[4, 3, 2, 4, 0, 4, 1]"
7800,1,2,"[1, 0, 0, 0, 0, 0, 1]"
42600,1,1,"[1, 3, 2, 4, 5, 3, 3]"
3000,2,2,"[1, 0, 0, 0, 0, 2, 0]"
68400,2,2,"[2, 1, 1, 0, 0, 5, 2]"
39600,1,0,"[3, 1, 0, 0, 0, 1, 0]"
37200,1,1,"[3, 3, 2, 3, 3, 1, 4]"
27600,1,0,"[1, 0, 1, 1, 0, 0, 0]"
78000,0,0,"[1, 1, 1, 1, 1, 1, 2]"
48000,2,2,"[1, 1, 0, 0, 0, 1, 0]"
1200,1,1,"[2, 0, 2, 1, 2, 1, 5]"
58200,2,1,"[1, 0, 0, 0, 0, 0, 0]"
48600,1,0,"[1, 1, 0, 0, 0, 1, 2]"
40800,2,1,"[1, 0, 0, 0, 0, 0, 0]"
38400,1,0,"[2, 2, 2, 2, 1, 1, 0]"
60000,1,0,"[4, 2, 2, 0, 1, 1, 0]"
8400,1,0,"[1, 0, 1, 1, 0, 0, 5]"
84000,0,2,"[1, 0, 0, 1, 0, 0, 0]"
3000,2,0,"[1, 0, 0, 0, 0, 0, 0]"
5400,0,1,"[1, 1, 1, 2, 0, 0, 3]"
9000,0,2,"[1, 0, 0, 0, 0, 0, 0]"
4800,1,1,"[1, 1, 2, 2, 1, 1, 3]"
78600,0,0,"[2, 0, 0, 1, 2, 0, 0]"
42600,0,1,"[1, 0, 1, 2, 1, 1, 1]"
51600,0,1,"[1, 1, 1, 0, 2, 2, 5]"
3600,1,0,"[4, 0, 1, 0, 1, 1, 6]"
48000,0,0,"[2, 0, 0, 0, 2, 0, 0]"
68400,0,1,"[1, 0, 2, 6, 1, 0, 2]"
77400,0,1,"[2, 0, 0, 4, 0, 1, 3]"
52200,0,1,"[2, 1, 0, 1, 1, 1, 3]"
55200,1,1,"[5, 4, 6, 6, 4, 4, 6]"
15000,1,1,"[1, 0, 0, 0, 0, 0, 2]"
32400,1,0,"[1, 1, 0, 2, 1, 1, 1]"
43200,1,1,"[3, 1, 3, 6, 4, 1, 3]"
76200,0,1,"[2, 1, 0, 2, 0, 1, 0]"
82200,0,0,"[1, 2, 0, 2, 1, 0, 0]"
76800,1,0,"[2, 1, 1, 6, 2, 5, 2]"
38400,2,2,"[1, 0, 1, 3, 0, 0, 1]"
77400,1,0,"[1, 3, 3, 3, 2, 2, 2]"
31800,1,0,"[2, 2, 3, 1, 0, 1, 0]"
32400,2,2,"[1, 1, 2, 0, 1, 2, 2]"
50400,1,1,"[3, 1, 0, 3, 2, 3, 4]"
2400,0,1,"[3, 0, 0, 0, 0, 2, 4]"
17400,1,0,"[1, 0, 1, 1, 0, 1, 0]"
1200,2,1,"[2, 0, 0, 0, 0, 0, 0]"
12000,1,0,"[1, 0, 0, 0, 0, 1, 0]"
82800,0,0,"[1, 0, 0, 3, 4, 1, 3]"
48000,1,0,"[2, 1, 1, 0, 0, 0, 3]"
76800,0,1,"[1, 1, 1, 1, 0, 2, 2]"
45000,1,0,"[1, 1, 1, 1, 1, 1, 0]"
0,0,0,"[1, 0, 0, 0, 1, 0, 4]"
70200,1,0,"[1, 1, 1, 0, 0, 3, 4]"
15600,1,1,"[2, 0, 0, 0, 0, 0, 1]"
42000,1,0,"[3, 3, 1, 0, 0, 1, 0]"
73200,1,1,"[2, 4, 2, 7, 2, 4, 3]"
28200,1,0,"[1, 1, 0, 0, 1, 0, 1]"
1200,0,0,"[1, 0, 2, 0, 0, 1, 3]"
4800,2,1,"[1, 0, 0, 0, 0, 0, 0]"
8400,1,1,"[3, 1, 1, 0, 1, 1, 5]"
3600,1,2,"[1, 0, 0, 0, 0, 0, 0]"
68400,0,0,"[1, 0, 1, 1, 4, 1, 0]"
18600,1,0,"[1, 0, 0, 0, 0, 0, 0]"
4800,1,0,"[1, 0, 0, 0, 0, 1, 6]"
78000,1,0,"[1, 1, 3, 1, 1, 3, 3]"
41400,0,1,"[1, 0, 0, 1, 1, 1, 0]"
4800,0,0,"[1, 0, 0, 2, 1, 0, 2]"
35400,0,1,"[1, 1, 1, 0, 1, 1, 2]"
37800,0,0,"[1, 0, 1, 2, 0, 1, 2]"
74400,0,0,"[1, 0, 0, 3, 2, 3, 2]"
52200,2,1,"[1, 0, 0, 0, 0, 0, 0]"
72600,1,1,"[2, 2, 6, 6, 1, 4, 3]"
82200,2,2,"[1, 0, 0, 0, 1, 0, 0]"
38400,2,0,"[1, 0, 0, 0, 0, 0, 0]"
28200,0,0,"[1, 0, 1, 1, 1, 1, 0]"
55200,2,2,"[1, 1, 0, 0, 1, 0, 3]"
43200,0,1,"[3, 2, 0, 0, 2, 4, 1]"
69000,0,1,"[1, 3, 1, 0, 0, 0, 0]"
53400,0,0,"[1, 1, 0, 0, 0, 0, 1]"
14400,1,2,"[1, 0, 0, 0, 0, 0, 1]"
20400,1,1,"[2, 0, 1, 0, 1, 0, 0]"
61200,1,0,"[2, 0, 1, 0, 1, 3, 0]"
6000,0,1,"[2, 1, 0, 0, 0, 0, 5]"
85200,1,0,"[1, 3, 1, 1, 0, 0, 1]"
40800,1,0,"[3, 3, 0, 1, 2, 0, 3]"
63600,1,0,"[1, 1, 0, 1, 1, 1, 4]"
75000,2,2,"[1, 0, 0, 1, 0, 2, 0]"
66000,1,0,"[2, 1, 2, 1, 1, 1, 3]"
63000,0,0,"[2, 1, 1, 0, 0, 2, 4]"
47400,1,0,"[1, 0, 1, 1, 1, 1, 2]"
11400,0,0,"[1, 0, 0, 0, 1, 3, 2]"
78600,1,1,"[1, 0, 1, 2, 4, 2, 3]"
14400,1,0,"[1, 0, 0, 1, 1, 0, 2]"
6600,0,2,"[1, 0, 0, 0, 0, 0, 0]"
43800,0,1,"[1, 1, 2, 1, 1, 3, 2]"
6600,1,1,"[2, 0, 0, 0, 0, 2, 6]"
71400,1,3,"[1, 0, 0, 0, 0, 0, 0]"
53400,1,0,"[1, 0, 2, 0, 1, 0, 1]"
26400,1,1,"[1, 2, 1, 2, 2, 0, 0]"
59400,2,2,"[1, 1, 1, 2, 0, 1, 1]"
64800,0,0,"[1, 0, 1, 1, 2, 2, 0]"
73800,2,2,"[1, 2, 0, 0, 0, 1, 2]"
79200,0,1,"[1, 0, 0, 0, 2, 1, 1]"
47400,0,0,"[1, 0, 2, 0, 0, 0, 2]"
75000,0,0,"[1, 0, 1, 1, 2, 0, 3]"
